Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
Clase,f0
Diferentes,13
Un par,15
Dos pares,1
Tercia,1
Full,0
Poker,0
Quintilla,0
