Tamano Hueco,0,1,2,3,4,5,6,7,8,9,Total
0,3,0,3,2,1,2,2,0,1,0,14
1,1,1,0,1,2,0,1,1,0,0,7
2,2,1,0,3,0,1,0,1,1,0,9
3,0,0,2,2,1,2,2,1,1,1,12
4,2,2,0,0,0,2,2,1,1,0,10
5,0,0,0,0,1,1,0,1,1,2,6
6,0,1,1,0,1,0,1,0,1,0,5
7,0,1,1,0,1,1,0,0,0,0,4
8,1,0,0,0,0,0,1,2,0,1,5
9,0,0,0,1,0,0,0,1,0,1,3
10,0,0,1,0,0,0,0,0,0,0,1
11,1,0,1,0,1,1,0,1,1,0,6
12,0,1,0,0,0,1,0,0,0,1,3
13,0,0,0,0,0,0,1,0,0,0,1
14,1,0,1,1,0,0,0,0,0,0,3
15,0,2,1,0,0,0,0,0,0,1,4
16,0,0,0,1,1,0,0,0,0,0,2
17,0,0,1,0,0,0,0,0,0,0,1
18,0,0,0,0,0,2,0,0,0,0,2
19,0,0,1,0,0,0,0,1,0,0,2
20,0,0,0,0,0,0,0,0,0,0,0
