Clase,f0,pe,fe,chi
Diferentes,302753,0.3024,302400.0000,0.41206680
Un par,503579,0.5040,504000.0000,0.35166865
Dos pares,107966,0.1080,108000.0000,0.01070370
Tercia,71934,0.0720,72000.0000,0.06050000
Full,9108,0.0090,9000.0000,1.29600000
Poker,4544,0.0045,4500.0000,0.43022222
Quintilla,116,0.0001,100.0000,2.56000000
Clase,f0,pe,fe,chi
Diferentes,302753,0.3024,302400.0000,0.41206680
Un par,503579,0.5040,504000.0000,0.35166865
Dos pares,107966,0.1080,108000.0000,0.01070370
Tercia,71934,0.0720,72000.0000,0.06050000
Full,9108,0.0090,9000.0000,1.29600000
Poker,4544,0.0045,4500.0000,0.43022222
Quintilla,116,0.0001,100.0000,2.56000000
Clase,f0,pe,fe,chi
Diferentes,302753,0.3024,302400.0000,0.41206680
Un par,503579,0.5040,504000.0000,0.35166865
Dos pares,107966,0.1080,108000.0000,0.01070370
Tercia,71934,0.0720,72000.0000,0.06050000
Full,9108,0.0090,9000.0000,1.29600000
Poker,4544,0.0045,4500.0000,0.43022222
Quintilla,116,0.0001,100.0000,2.56000000
